method,AUC-PR
run1-1,1.0
run1-2,1.0
run1-3,0.5
run1-4,0.5
run1-5,0.5
run10,0.75
run11,1.0
run12-catboost,0.75
run12-rf,0.75
run13,0.75
run14,0.75
run15,1.0
run16,0.6666666666666666
run17,0.75
run18,0.5
run19,0.5
run2,1.0
run20,1.0
run3,1.0
run4,0.875
run5,0.75
run6,1.0
run7,0.75
run8,1.0
run9,0.75
