metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,18.494991706166868,0.7783579065959789,False
Precision,Kruskal-Wallis,14.369477681450142,0.9378604991943555,False
Recall,Kruskal-Wallis,29.32974298095758,0.2079675057361294,False
F1-Score,Kruskal-Wallis,24.067352283007093,0.4577513175970475,False
ROC-AUC,Kruskal-Wallis,6.875989445910227,0.9997533929972479,False
MCC,Kruskal-Wallis,14.251514327037256,0.9407642071076924,False
Cohen's Kappa,Kruskal-Wallis,14.587783235242084,0.9322426547553081,False
