method,metoda,AUC-PR,rank,dataset,folder
metoda4,run4_WELFake_pr_curve.csv,0.8073998768987214,15,WELFake,results_2_classic
metoda6,run6_WELFake_pr_curve.csv,0.8073998768987214,16,WELFake,results_2_classic
metoda8,run8_WELFake_pr_curve.csv,0.8073998768987214,17,WELFake,results_2_classic
metoda18,run18_WELFake_pr_curve.csv,0.8068596984287418,18,WELFake,results_2_classic
metoda1-1,run1-1_WELFake_pr_curve.csv,0.806049689985407,19,WELFake,results_2_classic
metoda1-5,run1-5_WELFake_pr_curve.csv,0.8050560993458804,20,WELFake,results_2_classic
metoda1-4,run1-4_WELFake_pr_curve.csv,0.8038403438624556,21,WELFake,results_2_classic
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.8037716472300034,22,WELFake,results_2_classic
metoda1-3,run1-3_WELFake_pr_curve.csv,0.8036407371762452,23,WELFake,results_2_classic
metoda17,run17_WELFake_pr_curve.csv,0.8031916627979347,24,WELFake,results_2_classic
metoda1-2,run1-2_WELFake_pr_curve.csv,0.8022323805431707,25,WELFake,results_2_classic
metoda17,run17_BuzzFeed_pr_curve.csv,0.9183333333333332,1,BuzzFeed,results_2_few_shot
metoda10,run10_BuzzFeed_pr_curve.csv,0.7026984126984126,2,BuzzFeed,results_2_few_shot
metoda9,run9_BuzzFeed_pr_curve.csv,0.6634920634920635,3,BuzzFeed,results_2_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.6588888888888889,4,BuzzFeed,results_2_few_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.6588888888888889,5,BuzzFeed,results_2_few_shot
metoda13,run13_BuzzFeed_pr_curve.csv,0.6334523809523809,6,BuzzFeed,results_2_few_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.6144444444444443,7,BuzzFeed,results_2_few_shot
metoda7,run7_BuzzFeed_pr_curve.csv,0.6144444444444443,8,BuzzFeed,results_2_few_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.6039682539682539,9,BuzzFeed,results_2_few_shot
metoda16,run16_BuzzFeed_pr_curve.csv,0.6030555555555555,10,BuzzFeed,results_2_few_shot
metoda18,run18_BuzzFeed_pr_curve.csv,0.5829761904761905,11,BuzzFeed,results_2_few_shot
metoda14,run14_BuzzFeed_pr_curve.csv,0.5829761904761905,12,BuzzFeed,results_2_few_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.5534126984126984,13,BuzzFeed,results_2_few_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.5099206349206349,14,BuzzFeed,results_2_few_shot
metoda11,run11_BuzzFeed_pr_curve.csv,0.43603174603174605,15,BuzzFeed,results_2_few_shot
metoda19,run19_BuzzFeed_pr_curve.csv,0.4217460317460317,16,BuzzFeed,results_2_few_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.41638888888888886,17,BuzzFeed,results_2_few_shot
metoda15,run15_BuzzFeed_pr_curve.csv,0.4151190476190476,18,BuzzFeed,results_2_few_shot
metoda20,run20_BuzzFeed_pr_curve.csv,0.4151190476190476,19,BuzzFeed,results_2_few_shot
metoda2,run2_BuzzFeed_pr_curve.csv,0.4151190476190476,20,BuzzFeed,results_2_few_shot
metoda3,run3_BuzzFeed_pr_curve.csv,0.4151190476190476,21,BuzzFeed,results_2_few_shot
metoda4,run4_BuzzFeed_pr_curve.csv,0.4151190476190476,22,BuzzFeed,results_2_few_shot
metoda6,run6_BuzzFeed_pr_curve.csv,0.4151190476190476,23,BuzzFeed,results_2_few_shot
metoda8,run8_BuzzFeed_pr_curve.csv,0.4151190476190476,24,BuzzFeed,results_2_few_shot
metoda5,run5_BuzzFeed_pr_curve.csv,0.3756349206349206,25,BuzzFeed,results_2_few_shot
metoda16,run16_ISOT_pr_curve.csv,1.0,1,ISOT,results_2_few_shot
metoda19,run19_ISOT_pr_curve.csv,1.0,2,ISOT,results_2_few_shot
metoda14,run14_ISOT_pr_curve.csv,0.9633333333333334,3,ISOT,results_2_few_shot
metoda5,run5_ISOT_pr_curve.csv,0.9183333333333332,4,ISOT,results_2_few_shot
metoda9,run9_ISOT_pr_curve.csv,0.8930952380952379,5,ISOT,results_2_few_shot
metoda13,run13_ISOT_pr_curve.csv,0.8599999999999999,6,ISOT,results_2_few_shot
metoda18,run18_ISOT_pr_curve.csv,0.8267857142857142,7,ISOT,results_2_few_shot
metoda6,run6_ISOT_pr_curve.csv,0.8163095238095237,8,ISOT,results_2_few_shot
metoda8,run8_ISOT_pr_curve.csv,0.8163095238095237,9,ISOT,results_2_few_shot
metoda15,run15_ISOT_pr_curve.csv,0.8163095238095237,10,ISOT,results_2_few_shot
metoda20,run20_ISOT_pr_curve.csv,0.8163095238095237,11,ISOT,results_2_few_shot
metoda2,run2_ISOT_pr_curve.csv,0.8163095238095237,12,ISOT,results_2_few_shot
metoda3,run3_ISOT_pr_curve.csv,0.8163095238095237,13,ISOT,results_2_few_shot
metoda4,run4_ISOT_pr_curve.csv,0.8163095238095237,14,ISOT,results_2_few_shot
metoda10,run10_ISOT_pr_curve.csv,0.7766666666666666,15,ISOT,results_2_few_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.7564285714285713,16,ISOT,results_2_few_shot
metoda7,run7_ISOT_pr_curve.csv,0.7514285714285713,17,ISOT,results_2_few_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.6914285714285714,18,ISOT,results_2_few_shot
metoda11,run11_ISOT_pr_curve.csv,0.6851190476190476,19,ISOT,results_2_few_shot
metoda17,run17_ISOT_pr_curve.csv,0.6567460317460316,20,ISOT,results_2_few_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.6529761904761905,21,ISOT,results_2_few_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,0.5730952380952381,22,ISOT,results_2_few_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,0.5730952380952381,23,ISOT,results_2_few_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,0.5730952380952381,24,ISOT,results_2_few_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,0.5730952380952381,25,ISOT,results_2_few_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,1,WELFake,results_2_few_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,2,WELFake,results_2_few_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.8163095238095237,3,WELFake,results_2_few_shot
metoda10,run10_WELFake_pr_curve.csv,0.8022222222222222,4,WELFake,results_2_few_shot
metoda14,run14_WELFake_pr_curve.csv,0.7984126984126985,5,WELFake,results_2_few_shot
metoda18,run18_WELFake_pr_curve.csv,0.7543650793650793,6,WELFake,results_2_few_shot
metoda9,run9_WELFake_pr_curve.csv,0.7514285714285713,7,WELFake,results_2_few_shot
metoda20,run20_WELFake_pr_curve.csv,0.7432539682539683,8,WELFake,results_2_few_shot
metoda8,run8_WELFake_pr_curve.csv,0.7432539682539683,9,WELFake,results_2_few_shot
metoda15,run15_WELFake_pr_curve.csv,0.7432539682539683,10,WELFake,results_2_few_shot
metoda6,run6_WELFake_pr_curve.csv,0.7432539682539683,11,WELFake,results_2_few_shot
metoda4,run4_WELFake_pr_curve.csv,0.7432539682539683,12,WELFake,results_2_few_shot
metoda3,run3_WELFake_pr_curve.csv,0.7432539682539683,13,WELFake,results_2_few_shot
metoda2,run2_WELFake_pr_curve.csv,0.7432539682539683,14,WELFake,results_2_few_shot
metoda7,run7_WELFake_pr_curve.csv,0.7400793650793651,15,WELFake,results_2_few_shot
metoda11,run11_WELFake_pr_curve.csv,0.7180555555555554,16,WELFake,results_2_few_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.6692460317460317,17,WELFake,results_2_few_shot
metoda5,run5_WELFake_pr_curve.csv,0.5688888888888889,18,WELFake,results_2_few_shot
metoda19,run19_WELFake_pr_curve.csv,0.5546428571428571,19,WELFake,results_2_few_shot
metoda17,run17_WELFake_pr_curve.csv,0.4217460317460317,20,WELFake,results_2_few_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.3859126984126984,21,WELFake,results_2_few_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.37579365079365074,22,WELFake,results_2_few_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.37579365079365074,23,WELFake,results_2_few_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.37579365079365074,24,WELFake,results_2_few_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.37579365079365074,25,WELFake,results_2_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,1.0,1,BuzzFeed,results_2_one_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,1.0,2,BuzzFeed,results_2_one_shot
metoda7,run7_BuzzFeed_pr_curve.csv,1.0,3,BuzzFeed,results_2_one_shot
metoda5,run5_BuzzFeed_pr_curve.csv,1.0,4,BuzzFeed,results_2_one_shot
metoda3,run3_BuzzFeed_pr_curve.csv,1.0,5,BuzzFeed,results_2_one_shot
metoda19,run19_BuzzFeed_pr_curve.csv,1.0,6,BuzzFeed,results_2_one_shot
metoda18,run18_BuzzFeed_pr_curve.csv,1.0,7,BuzzFeed,results_2_one_shot
metoda17,run17_BuzzFeed_pr_curve.csv,1.0,8,BuzzFeed,results_2_one_shot
metoda14,run14_BuzzFeed_pr_curve.csv,1.0,9,BuzzFeed,results_2_one_shot
metoda13,run13_BuzzFeed_pr_curve.csv,1.0,10,BuzzFeed,results_2_one_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,1.0,11,BuzzFeed,results_2_one_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,1.0,12,BuzzFeed,results_2_one_shot
metoda11,run11_BuzzFeed_pr_curve.csv,1.0,13,BuzzFeed,results_2_one_shot
metoda10,run10_BuzzFeed_pr_curve.csv,1.0,14,BuzzFeed,results_2_one_shot
metoda9,run9_BuzzFeed_pr_curve.csv,1.0,15,BuzzFeed,results_2_one_shot
metoda16,run16_BuzzFeed_pr_curve.csv,0.75,16,BuzzFeed,results_2_one_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.25,17,BuzzFeed,results_2_one_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.25,18,BuzzFeed,results_2_one_shot
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.25,19,BuzzFeed,results_2_one_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,1.0,1,ISOT,results_2_one_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,1.0,2,ISOT,results_2_one_shot
metoda7,run7_ISOT_pr_curve.csv,1.0,3,ISOT,results_2_one_shot
metoda3,run3_ISOT_pr_curve.csv,1.0,4,ISOT,results_2_one_shot
metoda18,run18_ISOT_pr_curve.csv,1.0,5,ISOT,results_2_one_shot
metoda17,run17_ISOT_pr_curve.csv,1.0,6,ISOT,results_2_one_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,1.0,7,ISOT,results_2_one_shot
metoda9,run9_ISOT_pr_curve.csv,1.0,8,ISOT,results_2_one_shot
metoda11,run11_ISOT_pr_curve.csv,1.0,9,ISOT,results_2_one_shot
metoda10,run10_ISOT_pr_curve.csv,1.0,10,ISOT,results_2_one_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,1.0,11,ISOT,results_2_one_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,1.0,12,ISOT,results_2_one_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,1.0,13,ISOT,results_2_one_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.25,14,ISOT,results_2_one_shot
metoda14,run14_ISOT_pr_curve.csv,0.25,15,ISOT,results_2_one_shot
metoda16,run16_ISOT_pr_curve.csv,0.25,16,ISOT,results_2_one_shot
metoda19,run19_ISOT_pr_curve.csv,0.25,17,ISOT,results_2_one_shot
metoda5,run5_ISOT_pr_curve.csv,0.25,18,ISOT,results_2_one_shot
metoda13,run13_ISOT_pr_curve.csv,0.25,19,ISOT,results_2_one_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,1,WELFake,results_2_one_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,1.0,2,WELFake,results_2_one_shot
metoda5,run5_WELFake_pr_curve.csv,1.0,3,WELFake,results_2_one_shot
metoda18,run18_WELFake_pr_curve.csv,1.0,4,WELFake,results_2_one_shot
metoda17,run17_WELFake_pr_curve.csv,1.0,5,WELFake,results_2_one_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,6,WELFake,results_2_one_shot
metoda14,run14_WELFake_pr_curve.csv,1.0,7,WELFake,results_2_one_shot
metoda9,run9_WELFake_pr_curve.csv,1.0,8,WELFake,results_2_one_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.25,9,WELFake,results_2_one_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.25,10,WELFake,results_2_one_shot
metoda11,run11_WELFake_pr_curve.csv,0.25,11,WELFake,results_2_one_shot
metoda10,run10_WELFake_pr_curve.csv,0.25,12,WELFake,results_2_one_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.25,13,WELFake,results_2_one_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.25,14,WELFake,results_2_one_shot
metoda19,run19_WELFake_pr_curve.csv,0.25,15,WELFake,results_2_one_shot
metoda3,run3_WELFake_pr_curve.csv,0.25,16,WELFake,results_2_one_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.25,17,WELFake,results_2_one_shot
metoda7,run7_WELFake_pr_curve.csv,0.25,18,WELFake,results_2_one_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.25,19,WELFake,results_2_one_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.8496817431143933,1,BuzzFeed,results_3_classic
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.8376706095891835,2,BuzzFeed,results_3_classic
metoda17,run17_BuzzFeed_pr_curve.csv,0.8107443772064097,3,BuzzFeed,results_3_classic
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.808796646149738,4,BuzzFeed,results_3_classic
metoda11,run11_BuzzFeed_pr_curve.csv,0.8029084470376917,5,BuzzFeed,results_3_classic
metoda13,run13_BuzzFeed_pr_curve.csv,0.7934281247908271,6,BuzzFeed,results_3_classic
metoda10,run10_BuzzFeed_pr_curve.csv,0.7925396875186547,7,BuzzFeed,results_3_classic
metoda14,run14_BuzzFeed_pr_curve.csv,0.791414718759789,8,BuzzFeed,results_3_classic
metoda5,run5_BuzzFeed_pr_curve.csv,0.7906021793358348,9,BuzzFeed,results_3_classic
metoda16,run16_BuzzFeed_pr_curve.csv,0.7807529461629479,10,BuzzFeed,results_3_classic
metoda19,run19_BuzzFeed_pr_curve.csv,0.7451967832309706,11,BuzzFeed,results_3_classic
metoda4,run4_BuzzFeed_pr_curve.csv,0.7432432432432432,12,BuzzFeed,results_3_classic
metoda7,run7_BuzzFeed_pr_curve.csv,0.7342807407843406,13,BuzzFeed,results_3_classic
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.7289530221525284,14,BuzzFeed,results_3_classic
metoda18,run18_BuzzFeed_pr_curve.csv,0.7196175178451075,15,BuzzFeed,results_3_classic
metoda9,run9_BuzzFeed_pr_curve.csv,0.7051544961332376,16,BuzzFeed,results_3_classic
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.6908092955058106,17,BuzzFeed,results_3_classic
metoda20,run20_BuzzFeed_pr_curve.csv,0.6672212700650494,18,BuzzFeed,results_3_classic
metoda2,run2_BuzzFeed_pr_curve.csv,0.6672212700650494,19,BuzzFeed,results_3_classic
metoda15,run15_BuzzFeed_pr_curve.csv,0.6672212700650494,20,BuzzFeed,results_3_classic
metoda6,run6_BuzzFeed_pr_curve.csv,0.6672212700650494,21,BuzzFeed,results_3_classic
metoda8,run8_BuzzFeed_pr_curve.csv,0.6672212700650494,22,BuzzFeed,results_3_classic
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.6331239978276471,23,BuzzFeed,results_3_classic
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.6180886152978592,24,BuzzFeed,results_3_classic
metoda3,run3_BuzzFeed_pr_curve.csv,0.5514814416396119,25,BuzzFeed,results_3_classic
metoda1-3,run1-3_ISOT_pr_curve.csv,0.9983141506623671,1,ISOT,results_3_classic
metoda1-1,run1-1_ISOT_pr_curve.csv,0.9982131755294871,2,ISOT,results_3_classic
metoda1-4,run1-4_ISOT_pr_curve.csv,0.9969311900827256,3,ISOT,results_3_classic
metoda1-5,run1-5_ISOT_pr_curve.csv,0.9966061904121875,4,ISOT,results_3_classic
metoda10,run10_ISOT_pr_curve.csv,0.9963426140582399,5,ISOT,results_3_classic
metoda17,run17_ISOT_pr_curve.csv,0.9953180318956274,6,ISOT,results_3_classic
metoda16,run16_ISOT_pr_curve.csv,0.9950514143156025,7,ISOT,results_3_classic
metoda14,run14_ISOT_pr_curve.csv,0.9950302285315784,8,ISOT,results_3_classic
metoda11,run11_ISOT_pr_curve.csv,0.9944137659426247,9,ISOT,results_3_classic
metoda13,run13_ISOT_pr_curve.csv,0.9929599480782348,10,ISOT,results_3_classic
metoda1-2,run1-2_ISOT_pr_curve.csv,0.9927340587748195,11,ISOT,results_3_classic
metoda5,run5_ISOT_pr_curve.csv,0.992605318115904,12,ISOT,results_3_classic
metoda9,run9_ISOT_pr_curve.csv,0.9915017701771872,13,ISOT,results_3_classic
metoda18,run18_ISOT_pr_curve.csv,0.9902244195703823,14,ISOT,results_3_classic
metoda19,run19_ISOT_pr_curve.csv,0.9782595895293189,15,ISOT,results_3_classic
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.9759073019043242,16,ISOT,results_3_classic
metoda8,run8_ISOT_pr_curve.csv,0.9674083148706891,17,ISOT,results_3_classic
metoda6,run6_ISOT_pr_curve.csv,0.9674083148706891,18,ISOT,results_3_classic
metoda20,run20_ISOT_pr_curve.csv,0.9674083148706891,19,ISOT,results_3_classic
metoda2,run2_ISOT_pr_curve.csv,0.9674083148706891,20,ISOT,results_3_classic
metoda15,run15_ISOT_pr_curve.csv,0.9674083148706891,21,ISOT,results_3_classic
metoda7,run7_ISOT_pr_curve.csv,0.9643369952742059,22,ISOT,results_3_classic
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.9553880014602064,23,ISOT,results_3_classic
metoda3,run3_ISOT_pr_curve.csv,0.9236751785899429,24,ISOT,results_3_classic
metoda4,run4_ISOT_pr_curve.csv,0.7364699331848552,25,ISOT,results_3_classic
metoda1-2,run1-2_WELFake_pr_curve.csv,0.9905385699254715,1,WELFake,results_3_classic
metoda1-1,run1-1_WELFake_pr_curve.csv,0.9902987132194803,2,WELFake,results_3_classic
metoda13,run13_WELFake_pr_curve.csv,0.9884100976659573,3,WELFake,results_3_classic
metoda1-5,run1-5_WELFake_pr_curve.csv,0.9882027755739027,4,WELFake,results_3_classic
metoda1-3,run1-3_WELFake_pr_curve.csv,0.9881514217248923,5,WELFake,results_3_classic
metoda10,run10_WELFake_pr_curve.csv,0.9877574156839433,6,WELFake,results_3_classic
metoda1-4,run1-4_WELFake_pr_curve.csv,0.9867879007422797,7,WELFake,results_3_classic
metoda5,run5_WELFake_pr_curve.csv,0.9865319926296834,8,WELFake,results_3_classic
metoda17,run17_WELFake_pr_curve.csv,0.9822252479650015,9,WELFake,results_3_classic
metoda18,run18_WELFake_pr_curve.csv,0.9815619022162749,10,WELFake,results_3_classic
metoda14,run14_WELFake_pr_curve.csv,0.9797636721818082,11,WELFake,results_3_classic
metoda16,run16_WELFake_pr_curve.csv,0.9797531896320277,12,WELFake,results_3_classic
metoda9,run9_WELFake_pr_curve.csv,0.9786216268329592,13,WELFake,results_3_classic
metoda11,run11_WELFake_pr_curve.csv,0.9772994562589772,14,WELFake,results_3_classic
metoda19,run19_WELFake_pr_curve.csv,0.9662359368557085,15,WELFake,results_3_classic
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.9634449394133886,16,WELFake,results_3_classic
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.9578020755623831,17,WELFake,results_3_classic
metoda7,run7_WELFake_pr_curve.csv,0.9331228235667028,18,WELFake,results_3_classic
metoda15,run15_WELFake_pr_curve.csv,0.9316448358722985,19,WELFake,results_3_classic
metoda20,run20_WELFake_pr_curve.csv,0.9316448358722985,20,WELFake,results_3_classic
metoda2,run2_WELFake_pr_curve.csv,0.9316448358722985,21,WELFake,results_3_classic
metoda6,run6_WELFake_pr_curve.csv,0.9316448358722985,22,WELFake,results_3_classic
metoda8,run8_WELFake_pr_curve.csv,0.9316448358722985,23,WELFake,results_3_classic
metoda3,run3_WELFake_pr_curve.csv,0.8877773295634083,24,WELFake,results_3_classic
metoda4,run4_WELFake_pr_curve.csv,0.7844983475712415,25,WELFake,results_3_classic
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.9633333333333334,1,BuzzFeed,results_3_few_shot
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.9380952380952381,2,BuzzFeed,results_3_few_shot
metoda5,run5_BuzzFeed_pr_curve.csv,0.9380952380952381,3,BuzzFeed,results_3_few_shot
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.9183333333333332,4,BuzzFeed,results_3_few_shot
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.9183333333333332,5,BuzzFeed,results_3_few_shot
metoda19,run19_BuzzFeed_pr_curve.csv,0.9183333333333332,6,BuzzFeed,results_3_few_shot
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.874642857142857,7,BuzzFeed,results_3_few_shot
metoda17,run17_BuzzFeed_pr_curve.csv,0.874642857142857,8,BuzzFeed,results_3_few_shot
metoda16,run16_BuzzFeed_pr_curve.csv,0.8647619047619046,9,BuzzFeed,results_3_few_shot
metoda13,run13_BuzzFeed_pr_curve.csv,0.8347619047619046,10,BuzzFeed,results_3_few_shot
metoda11,run11_BuzzFeed_pr_curve.csv,0.8322222222222222,11,BuzzFeed,results_3_few_shot
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.8022222222222222,12,BuzzFeed,results_3_few_shot
metoda15,run15_BuzzFeed_pr_curve.csv,0.7563095238095239,13,BuzzFeed,results_3_few_shot
metoda20,run20_BuzzFeed_pr_curve.csv,0.7563095238095239,14,BuzzFeed,results_3_few_shot
metoda2,run2_BuzzFeed_pr_curve.csv,0.7563095238095239,15,BuzzFeed,results_3_few_shot
metoda6,run6_BuzzFeed_pr_curve.csv,0.7563095238095239,16,BuzzFeed,results_3_few_shot
metoda8,run8_BuzzFeed_pr_curve.csv,0.7563095238095239,17,BuzzFeed,results_3_few_shot
metoda4,run4_BuzzFeed_pr_curve.csv,0.75,18,BuzzFeed,results_3_few_shot
metoda7,run7_BuzzFeed_pr_curve.csv,0.7046428571428571,19,BuzzFeed,results_3_few_shot
metoda9,run9_BuzzFeed_pr_curve.csv,0.6851190476190476,20,BuzzFeed,results_3_few_shot
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.6834523809523809,21,BuzzFeed,results_3_few_shot
metoda18,run18_BuzzFeed_pr_curve.csv,0.6794444444444443,22,BuzzFeed,results_3_few_shot
metoda3,run3_BuzzFeed_pr_curve.csv,0.6396428571428572,23,BuzzFeed,results_3_few_shot
metoda10,run10_BuzzFeed_pr_curve.csv,0.5577777777777778,24,BuzzFeed,results_3_few_shot
metoda14,run14_BuzzFeed_pr_curve.csv,0.3867460317460317,25,BuzzFeed,results_3_few_shot
metoda1-1,run1-1_ISOT_pr_curve.csv,1.0,1,ISOT,results_3_few_shot
metoda15,run15_ISOT_pr_curve.csv,1.0,2,ISOT,results_3_few_shot
metoda8,run8_ISOT_pr_curve.csv,1.0,3,ISOT,results_3_few_shot
metoda7,run7_ISOT_pr_curve.csv,1.0,4,ISOT,results_3_few_shot
metoda6,run6_ISOT_pr_curve.csv,1.0,5,ISOT,results_3_few_shot
metoda5,run5_ISOT_pr_curve.csv,1.0,6,ISOT,results_3_few_shot
metoda2,run2_ISOT_pr_curve.csv,1.0,7,ISOT,results_3_few_shot
metoda20,run20_ISOT_pr_curve.csv,1.0,8,ISOT,results_3_few_shot
metoda19,run19_ISOT_pr_curve.csv,1.0,9,ISOT,results_3_few_shot
metoda17,run17_ISOT_pr_curve.csv,1.0,10,ISOT,results_3_few_shot
metoda16,run16_ISOT_pr_curve.csv,1.0,11,ISOT,results_3_few_shot
metoda14,run14_ISOT_pr_curve.csv,1.0,12,ISOT,results_3_few_shot
metoda13,run13_ISOT_pr_curve.csv,1.0,13,ISOT,results_3_few_shot
metoda12-rf,run12-rf_ISOT_pr_curve.csv,1.0,14,ISOT,results_3_few_shot
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,1.0,15,ISOT,results_3_few_shot
metoda11,run11_ISOT_pr_curve.csv,1.0,16,ISOT,results_3_few_shot
metoda10,run10_ISOT_pr_curve.csv,1.0,17,ISOT,results_3_few_shot
metoda1-5,run1-5_ISOT_pr_curve.csv,1.0,18,ISOT,results_3_few_shot
metoda1-4,run1-4_ISOT_pr_curve.csv,1.0,19,ISOT,results_3_few_shot
metoda1-3,run1-3_ISOT_pr_curve.csv,1.0,20,ISOT,results_3_few_shot
metoda9,run9_ISOT_pr_curve.csv,1.0,21,ISOT,results_3_few_shot
metoda1-2,run1-2_ISOT_pr_curve.csv,0.9633333333333334,22,ISOT,results_3_few_shot
metoda18,run18_ISOT_pr_curve.csv,0.9633333333333334,23,ISOT,results_3_few_shot
metoda3,run3_ISOT_pr_curve.csv,0.9633333333333334,24,ISOT,results_3_few_shot
metoda4,run4_ISOT_pr_curve.csv,0.75,25,ISOT,results_3_few_shot
metoda16,run16_WELFake_pr_curve.csv,1.0,1,WELFake,results_3_few_shot
metoda17,run17_WELFake_pr_curve.csv,1.0,2,WELFake,results_3_few_shot
metoda7,run7_WELFake_pr_curve.csv,1.0,3,WELFake,results_3_few_shot
metoda5,run5_WELFake_pr_curve.csv,1.0,4,WELFake,results_3_few_shot
metoda20,run20_WELFake_pr_curve.csv,1.0,5,WELFake,results_3_few_shot
metoda10,run10_WELFake_pr_curve.csv,1.0,6,WELFake,results_3_few_shot
metoda19,run19_WELFake_pr_curve.csv,1.0,7,WELFake,results_3_few_shot
metoda18,run18_WELFake_pr_curve.csv,1.0,8,WELFake,results_3_few_shot
metoda12-rf,run12-rf_WELFake_pr_curve.csv,1.0,9,WELFake,results_3_few_shot
metoda13,run13_WELFake_pr_curve.csv,1.0,10,WELFake,results_3_few_shot
metoda9,run9_WELFake_pr_curve.csv,0.9633333333333334,11,WELFake,results_3_few_shot
metoda14,run14_WELFake_pr_curve.csv,0.9633333333333334,12,WELFake,results_3_few_shot
metoda1-5,run1-5_WELFake_pr_curve.csv,0.9633333333333334,13,WELFake,results_3_few_shot
metoda11,run11_WELFake_pr_curve.csv,0.9183333333333332,14,WELFake,results_3_few_shot
metoda3,run3_WELFake_pr_curve.csv,0.8930952380952379,15,WELFake,results_3_few_shot
metoda1-2,run1-2_WELFake_pr_curve.csv,0.8599999999999999,16,WELFake,results_3_few_shot
metoda1-3,run1-3_WELFake_pr_curve.csv,0.8599999999999999,17,WELFake,results_3_few_shot
metoda1-1,run1-1_WELFake_pr_curve.csv,0.8599999999999999,18,WELFake,results_3_few_shot
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.845,19,WELFake,results_3_few_shot
metoda1-4,run1-4_WELFake_pr_curve.csv,0.8347619047619046,20,WELFake,results_3_few_shot
metoda15,run15_WELFake_pr_curve.csv,0.8163095238095237,21,WELFake,results_3_few_shot
metoda2,run2_WELFake_pr_curve.csv,0.8163095238095237,22,WELFake,results_3_few_shot
