Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),run,dataset,method
0.5,0.5,1.0,0.6666666666666666,1.0,0.0,0.5724257793801444,0.0,129.29999542236328,,,run17_WELFake_results.csv,WELFake,run17
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,1.1147528395793025,0.0,0.1608180999755859,,,run18_BuzzFeed_results.csv,BuzzFeed,run18
0.0,0.0,0.0,0.0,0.0,-1.0,1.1634972961524097,-1.0,3.7568490505218506,,,run18_ISOT_results.csv,ISOT,run18
1.0,1.0,1.0,1.0,1.0,1.0,0.2776797106487097,1.0,9.406992435455322,,,run18_WELFake_results.csv,WELFake,run18
0.5,0.0,0.0,0.0,0.0,0.0,0.8081160822602725,0.0,0.1750006675720214,,,run19_BuzzFeed_results.csv,BuzzFeed,run19
0.0,0.0,0.0,0.0,0.0,-1.0,3.769526643895694,-1.0,10.811042070388794,,,run19_ISOT_results.csv,ISOT,run19
1.0,1.0,1.0,1.0,1.0,1.0,0.0481062593800055,1.0,28.987998962402344,,,run19_WELFake_results.csv,WELFake,run19
1.0,1.0,1.0,1.0,1.0,1.0,0.4689033822690692,1.0,0.1260004043579101,,,run20_BuzzFeed_results.csv,BuzzFeed,run20
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7444156235247258,0.0,137.8919780254364,,,run20_ISOT_results.csv,ISOT,run20
1.0,1.0,1.0,1.0,1.0,1.0,0.5631283363517777,1.0,566.9219982624054,,,run20_WELFake_results.csv,WELFake,run20
1.0,1.0,1.0,1.0,1.0,1.0,0.4689033822690692,1.0,0.1260004043579101,,,run2_BuzzFeed_results.csv,BuzzFeed,run2
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7444156235247258,0.0,137.8919780254364,,,run2_ISOT_results.csv,ISOT,run2
1.0,1.0,1.0,1.0,1.0,1.0,0.5631283363517777,1.0,566.9219982624054,,,run2_WELFake_results.csv,WELFake,run2
1.0,1.0,1.0,1.0,1.0,1.0,0.4689033822690692,1.0,0.1260004043579101,,,run3_BuzzFeed_results.csv,BuzzFeed,run3
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7444156235247258,0.0,137.8919780254364,,,run3_ISOT_results.csv,ISOT,run3
1.0,1.0,1.0,1.0,1.0,1.0,0.5631283363517777,1.0,566.9219982624054,,,run3_WELFake_results.csv,WELFake,run3
1.0,1.0,1.0,1.0,1.0,1.0,0.4689033822690692,1.0,0.1260004043579101,,,run4_BuzzFeed_results.csv,BuzzFeed,run4
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7444156235247258,0.0,137.8919780254364,,,run4_ISOT_results.csv,ISOT,run4
1.0,1.0,1.0,1.0,1.0,1.0,0.5631283363517777,1.0,566.9219982624054,,,run4_WELFake_results.csv,WELFake,run4
0.5,0.0,0.0,0.0,1.0,0.0,0.793288594942853,0.0,0.1423313617706298,,,run5_BuzzFeed_results.csv,BuzzFeed,run5
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,3.51768766697881,0.0,7.957099676132202,,,run5_ISOT_results.csv,ISOT,run5
1.0,1.0,1.0,1.0,1.0,1.0,0.0405183304374165,1.0,20.88196635246277,,,run5_WELFake_results.csv,WELFake,run5
1.0,1.0,1.0,1.0,1.0,1.0,0.4689033822690692,1.0,0.1260004043579101,,,run6_BuzzFeed_results.csv,BuzzFeed,run6
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7444156235247258,0.0,137.8919780254364,,,run6_ISOT_results.csv,ISOT,run6
1.0,1.0,1.0,1.0,1.0,1.0,0.5631283363517777,1.0,566.9219982624054,,,run6_WELFake_results.csv,WELFake,run6
0.5,0.0,0.0,0.0,1.0,0.0,0.6967628247011657,0.0,0.3599989414215088,,,run7_BuzzFeed_results.csv,BuzzFeed,run7
0.0,0.0,0.0,0.0,0.0,-1.0,1.1649097384850935,-1.0,0.8133769035339355,,,run7_ISOT_results.csv,ISOT,run7
1.0,1.0,1.0,1.0,1.0,1.0,0.4092358546825364,1.0,1.982994794845581,,,run7_WELFake_results.csv,WELFake,run7
1.0,1.0,1.0,1.0,1.0,1.0,0.4689033822690692,1.0,0.1260004043579101,,,run8_BuzzFeed_results.csv,BuzzFeed,run8
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7444156235247258,0.0,137.8919780254364,,,run8_ISOT_results.csv,ISOT,run8
1.0,1.0,1.0,1.0,1.0,1.0,0.5631283363517777,1.0,566.9219982624054,,,run8_WELFake_results.csv,WELFake,run8
1.0,1.0,1.0,1.0,1.0,1.0,0.5639674387988908,1.0,8.048641681671143,,,run9_BuzzFeed_results.csv,BuzzFeed,run9
0.0,0.0,0.0,0.0,0.0,-1.0,1.1024777305765348,-1.0,376.3117425441742,,,run9_ISOT_results.csv,ISOT,run9
1.0,1.0,1.0,1.0,1.0,1.0,0.3106316562983702,1.0,860.925000667572,,,run9_WELFake_results.csv,WELFake,run9
