method,AUC-PR
run1-1,0.75
run1-2,0.75
run1-3,0.75
run1-4,0.75
run1-5,0.75
run10,0.75
run11,0.75
run12-catboost,0.75
run12-rf,0.5
run13,0.5
run14,0.5
run15,0.625
run16,0.5
run17,0.75
run18,0.75
run19,0.5
run2,0.625
run20,0.625
run3,0.75
run4,0.5
run5,0.5
run6,0.625
run7,0.75
run8,0.625
run9,0.75
