Precision,Recall
0.4864864864864865,1.0
0.5,1.0
0.5142857142857142,1.0
0.5,0.9444444444444444
0.5151515151515151,0.9444444444444444
0.5483870967741935,0.9444444444444444
0.5517241379310345,0.8888888888888888
0.5714285714285714,0.8888888888888888
0.5925925925925926,0.8888888888888888
0.6,0.8333333333333334
0.5833333333333334,0.7777777777777778
0.6190476190476191,0.7222222222222222
0.6,0.6666666666666666
0.5555555555555556,0.5555555555555556
0.5294117647058824,0.5
0.5714285714285714,0.4444444444444444
0.6153846153846154,0.4444444444444444
0.5833333333333334,0.3888888888888889
0.7,0.3888888888888889
0.7777777777777778,0.3888888888888889
0.8571428571428571,0.3333333333333333
1.0,0.3333333333333333
1.0,0.2777777777777778
1.0,0.2222222222222222
1.0,0.16666666666666666
1.0,0.1111111111111111
1.0,0.05555555555555555
1.0,0.0
