Precision,Recall
0.4864864864864865,1.0
0.5,1.0
0.5142857142857142,1.0
0.5294117647058824,1.0
0.5454545454545454,1.0
0.53125,0.9444444444444444
0.5161290322580645,0.8888888888888888
0.5333333333333333,0.8888888888888888
0.5517241379310345,0.8888888888888888
0.5357142857142857,0.8333333333333334
0.5555555555555556,0.8333333333333334
0.5384615384615384,0.7777777777777778
0.56,0.7777777777777778
0.5833333333333334,0.7777777777777778
0.5652173913043478,0.7222222222222222
0.5454545454545454,0.6666666666666666
0.5714285714285714,0.6666666666666666
0.6,0.6666666666666666
0.631578947368421,0.6666666666666666
0.6666666666666666,0.6666666666666666
0.7058823529411765,0.6666666666666666
0.75,0.6666666666666666
0.8,0.6666666666666666
0.8571428571428571,0.6666666666666666
0.9230769230769231,0.6666666666666666
0.9166666666666666,0.6111111111111112
1.0,0.6111111111111112
1.0,0.5555555555555556
1.0,0.5
1.0,0.4444444444444444
1.0,0.3888888888888889
1.0,0.3333333333333333
1.0,0.2777777777777778
1.0,0.2222222222222222
1.0,0.16666666666666666
1.0,0.1111111111111111
1.0,0.05555555555555555
1.0,0.0
