Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),metoda,dataset,method
0.6216216216216216,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.6637426900584795,0.3052960603447925,0.6773216308554819,0.2291666666666666,14.075564622879028,,,run1-1_BuzzFeed_results.csv,BuzzFeed,metoda1-1
0.9808463251670378,0.9856972586412396,0.9736284436072522,0.9796256811182183,0.998365060613,0.9616209041352114,0.0527810314740049,0.9615559515272858,96.07045817375185,,,run1-1_ISOT_results.csv,ISOT,metoda1-1
0.9461245868928104,0.9453369272237196,0.9608767123287671,0.9530434782608695,0.9875965325342466,0.8900304235815465,0.1418889559241551,0.8898677193480274,155.08407998085022,,,run1-1_WELFake_results.csv,WELFake,metoda1-1
0.5405405405405406,0.6666666666666666,0.1111111111111111,0.1904761904761904,0.7046783625730995,0.1070820943672059,0.6809033192307336,0.0597907324364723,14.12759256362915,,,run1-2_BuzzFeed_results.csv,BuzzFeed,metoda1-2
0.9404231625835188,0.8987967339922647,0.984930539204144,0.9398943938883272,0.9933087080869551,0.884709195342668,0.1469416773942068,0.8810814005894667,96.35235381126404,,,run1-2_ISOT_results.csv,ISOT,metoda1-2
0.9485564631788987,0.9509889154531624,0.959013698630137,0.9549844491733508,0.987992508561644,0.8950168281859922,0.1369369655233223,0.894973827015929,155.56604623794556,,,run1-2_WELFake_results.csv,WELFake,metoda1-2
0.4864864864864865,0.4864864864864865,1.0,0.6545454545454545,0.7777777777777778,0.0,0.6862974073404768,0.0,14.181593894958496,,,run1-3_BuzzFeed_results.csv,BuzzFeed,metoda1-3
0.9812917594654788,0.9768529342997428,0.983753237579468,0.980290943219146,0.9984680403029672,0.9625088041181592,0.0504043855689429,0.9624872086662942,96.65416765213013,,,run1-3_ISOT_results.csv,ISOT,metoda1-3
0.9382677558146786,0.9498949231279724,0.9411506849315068,0.9455025872509084,0.9846574074074076,0.8743737568295312,0.157980290620383,0.8743240435921531,155.99307775497437,,,run1-3_WELFake_results.csv,WELFake,metoda1-3
0.5135135135135135,0.5,1.0,0.6666666666666666,0.827485380116959,0.1622214211307625,0.6585077341932756,0.0512820512820514,14.234007358551024,,,run1-4_BuzzFeed_results.csv,BuzzFeed,metoda1-4
0.9743875278396436,0.9689469997665188,0.9771603484812807,0.9730363423212192,0.9971156732053464,0.9486775720975104,0.0687530733528486,0.9486469258096512,96.91781210899352,,,run1-4_ISOT_results.csv,ISOT,metoda1-4
0.934713475088857,0.9235528523489932,0.9651506849315068,0.9438936820106104,0.983163955479452,0.8671273765699032,0.1704740006432653,0.8659255655174838,156.44404792785645,,,run1-4_WELFake_results.csv,WELFake,metoda1-4
0.6756756756756757,0.7142857142857143,0.5555555555555556,0.625,0.652046783625731,0.3555830235294606,0.6876128194523455,0.3470588235294117,14.285979747772217,,,run1-5_BuzzFeed_results.csv,BuzzFeed,metoda1-5
0.970824053452116,0.9624042701322812,0.9764539675064752,0.969378214118747,0.9968745415351664,0.9416106905515824,0.0721340355699161,0.9415205230711274,97.19781255722046,,,run1-5_ISOT_results.csv,ISOT,metoda1-5
0.9367088607594936,0.934154175588865,0.9561643835616438,0.9450311399945844,0.9847140093860984,0.8707997954914181,0.157668331180618,0.8704719702171285,156.87400102615356,,,run1-5_WELFake_results.csv,WELFake,metoda1-5
0.6756756756756757,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7748538011695907,0.3508771929824561,0.6031164898932763,0.3508771929824562,0.3309032917022705,0.625,0.1889822365046136,run10_BuzzFeed_results.csv,BuzzFeed,metoda10
0.9751670378619154,0.9763257575757576,0.9710383800329644,0.9736748908039192,0.9967276337938747,0.9501868697762996,0.1116220464209888,0.950174322939179,66.16700005531311,0.9614699331848552,0.0051442358407354,run10_ISOT_results.csv,ISOT,metoda10
0.9397019392654486,0.9455975529823027,0.9486027397260274,0.9470977624596532,0.9843621733891426,0.8770062777212569,0.1951599383266166,0.8770003111441551,112.8069658279419,0.9185012795420242,0.004485164791912,run10_WELFake_results.csv,WELFake,metoda10
0.6216216216216216,0.6,0.6666666666666666,0.631578947368421,0.7573099415204678,0.2463353700772254,0.5989444441907952,0.2448979591836734,3.112001180648804,0.7214285714285714,0.1812653934349931,run11_BuzzFeed_results.csv,BuzzFeed,metoda11
0.966369710467706,0.968193686209352,0.9604426654108784,0.9643026004728132,0.9946103813178724,0.9325410137036853,0.3167358963952988,0.9325140974704904,673.334009885788,0.9505567928730512,0.0053452115812917,run11_ISOT_results.csv,ISOT,metoda11
0.9087111055683732,0.9075433556761358,0.9347945205479452,0.9209673936514792,0.9705807172754948,0.8134775329928962,0.4022671208659997,0.8129790525451817,1253.585738658905,0.8876348456890202,0.0043941063306773,run11_WELFake_results.csv,WELFake,metoda11
0.7297297297297297,0.7,0.7777777777777778,0.7368421052631579,0.7777777777777778,0.463345100859543,0.6743949105967256,0.4606413994169096,1.0929977893829346,,,run12-catboost_BuzzFeed_results.csv,BuzzFeed,metoda12-catboost
0.8918708240534521,0.8796940194714882,0.8935719331292677,0.8865786707160378,0.959628578625068,0.7833694900146785,0.347516952705883,0.7832818984147599,132.66523051261902,,,run12-catboost_ISOT_results.csv,ISOT,metoda12-catboost
0.861694830703997,0.907204339110954,0.8431780821917808,0.8740202203794161,0.9412698027650938,0.7235454285200075,0.344467541912969,0.7211703623819083,243.53692960739136,,,run12-catboost_WELFake_results.csv,WELFake,metoda12-catboost
