metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,7.201094547216522,0.9996291846926983,False
Precision,Kruskal-Wallis,7.804349685032574,0.9992576216341733,False
Recall,Kruskal-Wallis,7.675441221881673,0.9993558766625432,False
F1-Score,Kruskal-Wallis,8.051838972341681,0.9990337431778823,False
ROC-AUC,Kruskal-Wallis,7.414623950138642,0.9995216828823531,False
MCC,Kruskal-Wallis,7.674980284848212,0.9993562073886708,False
Cohen's Kappa,Kruskal-Wallis,7.112504631872928,0.9996673632010963,False
