dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
BuzzFeed,metoda1-1,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777777,1.0,0.3333333333333333,0.6815665743463565,0.3333333333333333,13.797009309132894,,
BuzzFeed,metoda1-2,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,1.0,0.0,0.6894376360674328,0.0,13.851344347000122,,
BuzzFeed,metoda1-3,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.6982880884929239,0.0,13.906235297520956,,
BuzzFeed,metoda1-4,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.6934464390827596,0.0,13.959923187891642,,
BuzzFeed,metoda1-5,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.69871894264175,0.0,14.013256470362345,,
BuzzFeed,metoda10,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5497164065789523,0.6666666666666666,0.16833281517028809,,
BuzzFeed,metoda11,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6297108764078825,0.6666666666666666,0.6870226065317789,,
BuzzFeed,metoda12-catboost,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6920072634985899,0.6666666666666666,0.3395812511444092,,
BuzzFeed,metoda12-rf,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7110649612116516,0.3333333333333333,0.3255798021952311,,
BuzzFeed,metoda13,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6328028604395344,0.6666666666666666,4.044997374216716,,
BuzzFeed,metoda14,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7189344788936979,0.3333333333333333,2.2212963104248047,,
BuzzFeed,metoda15,1.0,1.0,1.0,1.0,1.0,1.0,0.580954509890028,1.0,0.9099999666213989,,
BuzzFeed,metoda16,0.5,0.0,0.0,0.0,0.5,0.0,0.7198747033507368,0.0,0.6697291533152262,,
BuzzFeed,metoda17,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.0,0.6965276893060866,0.0,7.482035716374715,,
BuzzFeed,metoda18,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.8264776111972901,0.0,1.1885759035746257,,
BuzzFeed,metoda19,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7361418537875103,0.3333333333333333,0.19835352897644035,,
BuzzFeed,metoda2,1.0,1.0,1.0,1.0,1.0,1.0,0.580954509890028,1.0,0.9099999666213989,,
BuzzFeed,metoda20,1.0,1.0,1.0,1.0,1.0,1.0,0.580954509890028,1.0,0.9099999666213989,,
BuzzFeed,metoda3,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.34184165301154296,0.6666666666666666,0.3536875247955322,,
BuzzFeed,metoda4,0.75,0.75,1.0,0.8333333333333333,0.75,0.5,4.220048009156544,0.5,6.350120425224304,,
