metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,15.351182946128626,0.9100610485540083,False
Precision,Kruskal-Wallis,13.6262084431917,0.9546471868125048,False
Recall,Kruskal-Wallis,19.190913049045935,0.7417328855257372,False
F1-Score,Kruskal-Wallis,16.1386360657647,0.8830070091566512,False
ROC-AUC,Kruskal-Wallis,16.342203249492943,0.8753300044415334,False
MCC,Kruskal-Wallis,15.012354367034082,0.9203966762917124,False
Cohen's Kappa,Kruskal-Wallis,15.351182946128626,0.9100610485540083,False
