,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
Accuracy,1.0,0.8185848863942259,-0.02820474728759672,0.6912115564105504,0.701823480119647,0.9971778232092062,0.9989649528533565,0.6248717485999824
Precision,0.8185848863942259,1.0,-0.011904672225352065,0.7951450889530648,0.5578258457489415,0.8252773467398695,0.8304072057443482,0.5470791910597239
Recall,-0.02820474728759672,-0.011904672225352065,1.0,0.5878485094262204,-0.06271010239590333,-0.0005100920708037992,-0.047079199343099204,-0.1347098108356936
F1-Score,0.6912115564105504,0.7951450889530648,0.5878485094262204,1.0,0.45792719888761485,0.7110065137562981,0.6886007592045973,0.3947602206301149
ROC-AUC,0.701823480119647,0.5578258457489415,-0.06271010239590333,0.45792719888761485,1.0,0.6764583748451917,0.6997706228864266,0.9689110094690488
MCC,0.9971778232092062,0.8252773467398695,-0.0005100920708037992,0.7110065137562981,0.6764583748451917,1.0,0.9968872952424066,0.5920499484625162
Cohen's Kappa,0.9989649528533565,0.8304072057443482,-0.047079199343099204,0.6886007592045973,0.6997706228864266,0.9968872952424066,1.0,0.623412947152789
AUC-PR,0.6248717485999824,0.5470791910597239,-0.1347098108356936,0.3947602206301149,0.9689110094690488,0.5920499484625162,0.623412947152789,1.0
