method,AUC-PR
metoda1-1,0.75
metoda1-2,0.75
metoda1-3,0.75
metoda1-4,0.75
metoda1-5,0.75
metoda10,0.75
metoda11,0.75
metoda12-catboost,0.75
metoda12-rf,1.0
metoda13,1.0
metoda14,1.0
metoda15,1.0
metoda16,1.0
metoda17,1.0
metoda18,1.0
metoda19,0.75
metoda2,1.0
metoda20,1.0
metoda3,0.75
metoda4,0.875
metoda5,1.0
metoda6,1.0
metoda7,0.75
metoda8,1.0
metoda9,1.0
