Precision,Recall
0.47293986636971047,1.0
0.47894320876143165,0.9988226983753238
0.48568811541103735,0.9988226983753238
0.48937398937398935,0.9976453967506476
0.49375802123439505,0.9964680951259712
0.4969426152398871,0.9950553331763597
0.5007713302480123,0.9936425712267483
0.5050408065290446,0.9908170473275253
0.5097063819461296,0.9891688250529785
0.5142261466764778,0.9872851424534966
0.5181141439205955,0.9832823169295973
0.5221915747241725,0.9806922533553096
0.5266099326813158,0.9762185071815399
0.5306437106514198,0.972451141982576
0.535486391457221,0.9682128561337414
0.5409012818818554,0.9637391099599717
0.5447371940617894,0.9590299034612668
0.5480119015417907,0.9540852366376266
0.5529637760702525,0.948905109489051
0.5578713352785883,0.9453732046150224
0.5616727682343002,0.9392512361667059
0.5677650429799427,0.9331292677183894
0.572197179002472,0.9265363786202025
0.5770138683977575,0.9208853308217565
0.5817091454272864,0.9135860607487638
0.5867052023121387,0.9081704732752531
0.5929764851485149,0.9025194254768072
0.5981117230527144,0.8949846950788792
0.6026628168110363,0.8846244407817283
0.6071661237785017,0.877796091358606
0.6125498007968128,0.8688485990110666
0.6151382333108564,0.8591947256887215
0.6176470588235294,0.8504826936661173
0.6192047230421949,0.8396515187190958
0.6223085068831627,0.8302331057216858
0.6251121076233184,0.8205792323993407
0.6297312122874383,0.8109253590769955
0.6325088339222615,0.8008005651047798
0.636501325255585,0.7916176124323051
0.6411594202898551,0.7812573581351542
0.6442213034061823,0.7704261831881328
0.6454071399919775,0.7577113256416294
0.648360655737705,0.744996468095126
0.6511773286101271,0.7358135154226513
0.6545146248410343,0.7271014834000471
0.6557306281027412,0.7153284671532847
0.6589198760513502,0.7009653873322346
0.6602333931777379,0.6927242759595008
0.6621745089081772,0.6825994819872852
0.6632534326274144,0.671061926065458
0.6656302320019134,0.6552860842947963
0.6682162955713237,0.6430421473981635
0.6712776659959758,0.628443607252178
0.6730371900826446,0.6136096067812573
0.6741901221455124,0.5978337650105957
0.6759989127480294,0.5855898281139628
0.6782826874825759,0.5728749705674594
0.678714859437751,0.5570991287967978
0.6803061524874889,0.544148810925359
0.6826165960024227,0.5307275724040499
0.6866604186191815,0.517541794207676
0.6915167095115681,0.5067106192606545
0.6965471447543161,0.49399576171415116
0.7018505825908157,0.48222274546738875
0.7047551454932577,0.46762420532140336
0.7054945054945055,0.45349658582528846
0.7077971233913701,0.4403108076289145
0.712995681193561,0.42759595008241114
0.7164969450101834,0.41417471156110197
0.7174736842105263,0.4012243936896633
0.7235063235935456,0.3906286790675771
0.7250905797101449,0.3769719802213327
0.7277437588318417,0.3637862020249588
0.7288801571709234,0.34942312220390864
0.7319323423885187,0.33623734400753474
0.7381465517241379,0.3225806451612903
0.7366347777152504,0.3082175653402402
0.7412670219064535,0.29479632681893103
0.7428035043804756,0.27949140569813985
0.7490144546649146,0.2684247704261832
0.7466945024356297,0.2526489286555215
0.7505535055350554,0.23946315045914762
0.757120253164557,0.22533553096303272
0.760337552742616,0.21214975276665882
0.7591240875912408,0.19590299034612668
0.7619047619047619,0.18460089474923475
0.7650158061116965,0.17094419590299034
0.7719498289623717,0.15940663998116317
0.7788944723618091,0.145985401459854
0.7793103448275862,0.13303508358841534
0.788109756097561,0.12173298799152343
0.7847222222222222,0.10642806687073228
0.7794970986460348,0.0948905109489051
0.7847826086956522,0.08500117730162468
0.7794486215538847,0.07322816105486225
0.7964071856287425,0.06263244643277607
0.8014705882352942,0.05133035083588415
0.8181818181818182,0.04026371556392748
0.8092105263157895,0.028961619967035553
0.8333333333333334,0.020014127619496114
0.8461538461538461,0.012950317871438662
0.7777777777777778,0.004944666823640216
1.0,0.0
