Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),run,dataset,method
0.5135135135135135,0.0,0.0,0.0,0.7280701754385965,0.0,0.6926641781187869,0.0,12.8619122505188,,,run1-1_BuzzFeed_results.csv,BuzzFeed,run1-1
0.7419821826280624,0.7051445578231292,0.781021897810219,0.7411462406435035,0.8199766270927823,0.4878123061519393,0.5198467632528118,0.485292029497971,113.44143271446228,,,run1-1_ISOT_results.csv,ISOT,run1-1
0.6808630043025503,0.7425251180244522,0.6722191780821918,0.7056252156907857,0.7518509401953324,0.3611716329445365,0.5815919285667918,0.3590511534825631,203.1800980567932,,,run1-1_WELFake_results.csv,WELFake,run1-1
0.4864864864864865,0.4864864864864865,1.0,0.6545454545454545,0.7894736842105263,0.0,0.702151644997571,0.0,12.913912296295166,,,run1-2_BuzzFeed_results.csv,BuzzFeed,run1-2
0.7414253897550112,0.7019089574155654,0.7878502472333412,0.7424007100066563,0.8230816637398711,0.4878324216620592,0.5173949125960037,0.4845717032199523,113.7360701560974,,,run1-2_ISOT_results.csv,ISOT,run1-2
0.5940637276298559,0.5856310170934573,0.979945205479452,0.7331310978109371,0.7482725139523085,0.1497733756754014,0.6493622699900861,0.072382509160946,203.64222478866577,,,run1-2_WELFake_results.csv,WELFake,run1-2
0.4864864864864865,0.4864864864864865,1.0,0.6545454545454545,0.7719298245614036,0.0,0.6955585697103255,0.0,12.96591091156006,,,run1-3_BuzzFeed_results.csv,BuzzFeed,run1-3
0.7423162583518931,0.710704163941574,0.7676006592889099,0.7380575050939552,0.8207075092740176,0.4866283028248085,0.5171021619584301,0.485234375847684,114.02505874633788,,,run1-3_ISOT_results.csv,ISOT,run1-3
0.6469414479017273,0.6340689121176926,0.8974246575342466,0.743103448275862,0.7489068683409437,0.2672582910012026,0.6091219688666797,0.2289061185717367,204.10025715827945,,,run1-3_WELFake_results.csv,WELFake,run1-3
0.5135135135135135,0.0,0.0,0.0,0.760233918128655,0.0,0.6931169157687505,0.0,13.017910957336426,,,run1-4_BuzzFeed_results.csv,BuzzFeed,run1-4
0.7134743875278396,0.791231732776618,0.5354367789027549,0.6386743434910828,0.8187097779116127,0.4373785462081519,0.6435843928755208,0.4155648701003449,114.3131582736969,,,run1-4_ISOT_results.csv,ISOT,run1-4
0.6332855272183077,0.6178265291297399,0.932054794520548,0.7430868026735398,0.7490087677574835,0.2427646184940882,0.6194717167458902,0.1860639071065337,204.5811288356781,,,run1-4_WELFake_results.csv,WELFake,run1-4
0.5135135135135135,0.0,0.0,0.0,0.7631578947368421,0.0,0.6927397852892825,0.0,13.071414232254028,,,run1-5_BuzzFeed_results.csv,BuzzFeed,run1-5
0.7339643652561247,0.6818003913894325,0.8203437720744055,0.7446831249332051,0.8226002212521126,0.4807046097724852,0.5205252777336504,0.4718754985042411,114.61915755271912,,,run1-5_ISOT_results.csv,ISOT,run1-5
0.678742907027499,0.6877776727478968,0.7973698630136986,0.7385302476654486,0.7508083618721462,0.3339314060715757,0.5865024382072188,0.3278686062765837,205.0318138599396,,,run1-5_WELFake_results.csv,WELFake,run1-5
0.6756756756756757,0.7142857142857143,0.5555555555555556,0.625,0.7251461988304094,0.3555830235294606,0.6258803101541878,0.3470588235294117,0.2269988059997558,0.7357142857142858,0.1043688514014461,run10_BuzzFeed_results.csv,BuzzFeed,run10
0.7416481069042317,0.7402144103714784,0.6990817047327526,0.7190603051586341,0.8236659366716694,0.4809682228041443,0.5402390306724644,0.4802956319997358,1.1669738292694092,0.7398663697104677,0.0101415813541447,run10_ISOT_results.csv,ISOT,run10
0.685227910457068,0.7060131379484588,0.7655890410958904,0.7345951629863302,0.7552094590309488,0.3511805942448583,0.5916152582575103,0.3494472636971443,3.2796225547790527,0.6805513694715504,0.0039744713610928,run10_WELFake_results.csv,WELFake,run10
0.5675675675675675,0.5714285714285714,0.4444444444444444,0.5,0.6023391812865497,0.1325902799601378,0.674564230682549,0.1294117647058823,1.6710350513458252,0.625,0.1889822365046136,run11_BuzzFeed_results.csv,BuzzFeed,run11
0.7481069042316258,0.7420141428919775,0.7165057687779609,0.7290368950646862,0.8298822782948015,0.4941042742359686,0.5369215127453819,0.4938405197798239,19.6600353717804,0.7420935412026726,0.0069934603421414,run11_ISOT_results.csv,ISOT,run11
0.6913387790733928,0.7261891862607,0.7344657534246576,0.7303040209218699,0.7622547247590056,0.3695763516089257,0.5921092521586717,0.3695439281626911,34.96300411224365,0.6834198414161042,0.0054844688036068,run11_WELFake_results.csv,WELFake,run11
0.6756756756756757,0.75,0.5,0.6,0.736842105263158,0.3652684665168607,0.6838443394860267,0.3451327433628318,0.5619266033172607,,,run12-catboost_BuzzFeed_results.csv,BuzzFeed,run12-catboost
0.737305122494432,0.7209737827715356,0.7252178008005651,0.7230895645028759,0.8138415250028469,0.4732334335707923,0.6855028763687553,0.4732260592587921,9.631845951080322,,,run12-catboost_ISOT_results.csv,ISOT,run12-catboost
0.6813618507202095,0.7420132610006027,0.6745205479452054,0.7066590126291619,0.7497086504312532,0.3616380569983297,0.6534970844136534,0.3596767921185672,19.359981775283813,,,run12-catboost_WELFake_results.csv,WELFake,run12-catboost
0.5405405405405406,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.5380116959064327,0.0773932928566517,0.8719086888725882,0.0763582966226138,0.5399267673492432,0.6,0.1787855858683403,run12-rf_BuzzFeed_results.csv,BuzzFeed,run12-rf
