,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,1.0,,0.9999999999999998,1.0,1.0,-0.9863287167016199,1.0,-0.1674766718458953,,
Precision,1.0,1.0,,0.9999999999999998,1.0,1.0,-0.9863287167016199,1.0,-0.1674766718458953,,
Recall,,,,,,,,,,,
F1-Score,0.9999999999999998,0.9999999999999998,,1.0,0.9999999999999998,1.0,-0.9863287167016195,1.0,-0.1674766718458953,,
ROC-AUC,1.0,1.0,,0.9999999999999998,1.0,1.0,-0.9863287167016199,1.0,-0.1674766718458953,,
MCC,1.0,1.0,,1.0,1.0,1.0,-0.9863287167016199,1.0,-0.16747667184589535,,
Log Loss,-0.9863287167016199,-0.9863287167016199,,-0.9863287167016195,-0.9863287167016199,-0.9863287167016199,1.0,-0.9863287167016199,0.1370461445872881,,
Cohen's Kappa,1.0,1.0,,1.0,1.0,1.0,-0.9863287167016199,1.0,-0.16747667184589535,,
Execution Time (s),-0.1674766718458953,-0.1674766718458953,,-0.1674766718458953,-0.1674766718458953,-0.16747667184589535,0.1370461445872881,-0.16747667184589535,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
