metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,22.741418786934585,0.5351026534747052,False
Precision,Kruskal-Wallis,23.258289044424345,0.5045964143639696,False
Recall,Kruskal-Wallis,22.499773577475782,0.5494636465852987,False
F1-Score,Kruskal-Wallis,17.334837172975433,0.8340342171072319,False
ROC-AUC,Kruskal-Wallis,12.4727149614709,0.9740397351092963,False
MCC,Kruskal-Wallis,22.12099772976354,0.5720449251866826,False
Cohen's Kappa,Kruskal-Wallis,22.741418786934585,0.5351026534747052,False
