metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,14.615435045963045,0.9315082814971648,False
Precision,Kruskal-Wallis,7.805755874165025,0.9992564844869268,False
Recall,Kruskal-Wallis,16.779351822820065,0.8579188015644761,False
F1-Score,Kruskal-Wallis,12.678904312630008,0.9711229919001193,False
ROC-AUC,Kruskal-Wallis,15.462014973587072,0.9065094523081785,False
MCC,Kruskal-Wallis,11.247403775807774,0.9871354890871399,False
Cohen's Kappa,Kruskal-Wallis,12.376573649155727,0.9753237015595033,False
