method,metoda,AUC-PR
metoda1-1,run1-1_ISOT_pr_curve.csv,0.9982131755294871
metoda1-2,run1-2_ISOT_pr_curve.csv,0.9927340587748195
metoda1-3,run1-3_ISOT_pr_curve.csv,0.9983141506623671
metoda1-4,run1-4_ISOT_pr_curve.csv,0.9969311900827256
metoda1-5,run1-5_ISOT_pr_curve.csv,0.9966061904121875
metoda10,run10_ISOT_pr_curve.csv,0.9963426140582399
metoda11,run11_ISOT_pr_curve.csv,0.9944137659426247
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.9553880014602064
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.9759073019043242
metoda13,run13_ISOT_pr_curve.csv,0.9929599480782348
metoda14,run14_ISOT_pr_curve.csv,0.9950302285315784
metoda15,run15_ISOT_pr_curve.csv,0.9674083148706891
metoda16,run16_ISOT_pr_curve.csv,0.9950514143156025
metoda17,run17_ISOT_pr_curve.csv,0.9953180318956274
metoda18,run18_ISOT_pr_curve.csv,0.9902244195703823
metoda19,run19_ISOT_pr_curve.csv,0.9782595895293189
metoda20,run20_ISOT_pr_curve.csv,0.9674083148706891
metoda2,run2_ISOT_pr_curve.csv,0.9674083148706891
metoda3,run3_ISOT_pr_curve.csv,0.9236751785899429
metoda4,run4_ISOT_pr_curve.csv,0.7364699331848552
metoda5,run5_ISOT_pr_curve.csv,0.992605318115904
metoda6,run6_ISOT_pr_curve.csv,0.9674083148706891
metoda7,run7_ISOT_pr_curve.csv,0.9643369952742059
metoda8,run8_ISOT_pr_curve.csv,0.9674083148706891
metoda9,run9_ISOT_pr_curve.csv,0.9915017701771872
