Metoda,BERT,RoBERTa,SBERT
metoda1-1,77.71497201919556,113.44143271446228,96.07045817375185
metoda1-2,77.99297142028809,113.7360701560974,96.35235381126404
metoda1-3,78.24797129631042,114.02505874633788,96.65416765213013
metoda1-4,78.51825737953186,114.3131582736969,96.91781210899352
metoda1-5,78.77547216415405,114.61915755271912,97.19781255722046
metoda10,2.5564353466033936,1.1669738292694092,66.16700005531311
metoda11,19.687933206558228,19.6600353717804,673.334009885788
metoda12-catboost,11.165177822113035,9.631845951080322,132.66523051261902
metoda12-rf,11.103172302246094,9.58687663078308,132.55826139450073
metoda13,72.53377771377563,69.59896874427795,5134.295959949493
metoda14,465.7494628429413,465.6784977912903,3121.071727514267
metoda15,91.572429895401,90.86400079727171,465.25158762931824
metoda16,357.27796387672424,355.2180938720703,1147.7556731700895
metoda17,37.32599329948425,57.95330357551575,42.15080189704895
metoda18,3.0978214740753174,3.140999794006348,450.7204210758209
metoda19,9.069455623626707,8.051000833511353,80.41800165176392
metoda2,91.572429895401,90.86400079727171,465.25158762931824
metoda20,91.572429895401,90.86400079727171,465.25158762931824
metoda3,91.572429895401,90.86400079727171,1207.9282505512238
metoda4,91.572429895401,90.86400079727171,787.2280349731445
metoda5,6.524809122085571,5.578676700592041,81.22396683692932
metoda6,91.572429895401,90.86400079727171,465.25158762931824
metoda7,4.12725830078125,4.693766117095947,21.885029792785645
metoda8,91.572429895401,90.86400079727171,465.25158762931824
metoda9,338.5572302341461,353.404114484787,4074.0601398944855
