Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.6456576728499157,0.7411462406435035,0.9796256811182183
metoda1-2,0.6062492517658327,0.7424007100066563,0.9398943938883272
metoda1-3,0.6115992970123023,0.7380575050939552,0.980290943219146
metoda1-4,0.591205813523833,0.6386743434910828,0.9730363423212192
metoda1-5,0.6315906070004431,0.7446831249332051,0.969378214118747
metoda10,0.6146006162597772,0.7190603051586341,0.9736748908039192
metoda11,0.6199904580152672,0.7290368950646862,0.9643026004728132
metoda12-catboost,0.6151688675937829,0.7230895645028759,0.8865786707160378
metoda12-rf,0.6419208624280289,0.7332438041753143,0.9170243204577968
metoda13,0.6478102189781022,0.7418446374090589,0.9645423489221344
metoda14,0.6578820116054158,0.7438833313245752,0.9676275992438564
metoda15,0.5871898442008079,0.7201857282502444,0.9015446291710884
metoda16,0.6572327044025157,0.7438833313245752,0.9676275992438564
metoda17,0.6267456150150821,0.7293489271571968,0.9652616952292729
metoda18,0.6107911132008934,0.723093499341554,0.9604252805670408
metoda19,0.6565644607552977,0.7418582375478927,0.9214117647058824
metoda2,0.5871898442008079,0.7201857282502444,0.9015446291710884
metoda20,0.5871898442008079,0.7201857282502444,0.9015446291710884
metoda3,0.5871898442008079,0.7201857282502444,0.8569748294518936
metoda4,0.5871898442008079,0.7201857282502444,0.6421713162470704
metoda5,0.6432380029083858,0.7284174839568955,0.9642730810045984
metoda6,0.5871898442008079,0.7201857282502444,0.9015446291710884
metoda7,0.6261649982740767,0.7257617728531855,0.8970976253298153
metoda8,0.5871898442008079,0.7201857282502444,0.9015446291710884
metoda9,0.6056034482758621,0.7159325324596529,0.9540512101017188
