Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.5844304522037779,0.7051445578231292,0.9856972586412396
metoda1-2,0.61665854846566,0.7019089574155654,0.8987967339922647
metoda1-3,0.6086753731343284,0.710704163941574,0.9768529342997428
metoda1-4,0.6198347107438017,0.791231732776618,0.9689469997665188
metoda1-5,0.5963187617653211,0.6818003913894325,0.9624042701322812
metoda10,0.6187067525650203,0.7402144103714784,0.9763257575757576
metoda11,0.6282330190959633,0.7420141428919775,0.968193686209352
metoda12-catboost,0.6106728538283063,0.7209737827715356,0.8796940194714882
metoda12-rf,0.669050051072523,0.7614097363083164,0.9287611687998067
metoda13,0.628179606281796,0.7394152046783625,0.9651107967939652
metoda14,0.6760248447204968,0.7619753086419753,0.9710694806734644
metoda15,0.5758261656858307,0.7485394970789941,0.9029286726499764
metoda16,0.6757025615518528,0.7619753086419753,0.9710694806734644
metoda17,0.5963010204081632,0.5989110707803993,0.9496468443836864
metoda18,0.6098591549295774,0.7355090112031174,0.9637268847795164
metoda19,0.6602380952380953,0.7546894031668697,0.920761815189278
metoda2,0.5758261656858307,0.7485394970789941,0.9029286726499764
metoda20,0.5758261656858307,0.7485394970789941,0.9029286726499764
metoda3,0.5758261656858307,0.7485394970789941,0.8561692126909518
metoda4,0.5758261656858307,0.7485394970789941,0.4729398663697104
metoda5,0.6626716604244695,0.7497507477567298,0.9657534246575342
metoda6,0.5758261656858307,0.7485394970789941,0.9029286726499764
metoda7,0.6122862286228623,0.7428500986193294,0.9142019066242972
metoda8,0.5758261656858307,0.7485394970789941,0.9029286726499764
metoda9,0.6160779537149818,0.7386079118678017,0.9475150952159777
