method,metric,p_value,normal_distribution
metoda1-1,MCC,,
metoda1-2,MCC,,
metoda1-3,MCC,,
metoda1-4,MCC,,
metoda1-5,MCC,,
metoda10,MCC,,
metoda11,MCC,,
metoda12-catboost,MCC,,
metoda12-rf,MCC,,
metoda13,MCC,,
metoda14,MCC,,
metoda16,MCC,,
metoda17,MCC,,
metoda18,MCC,,
metoda19,MCC,,
metoda3,MCC,,
metoda5,MCC,,
metoda7,MCC,,
metoda9,MCC,,
