method,metric,p_value,normal_distribution
metoda1-1,Precision,,
metoda1-2,Precision,,
metoda1-3,Precision,,
metoda1-4,Precision,,
metoda1-5,Precision,,
metoda10,Precision,,
metoda11,Precision,,
metoda12-catboost,Precision,,
metoda12-rf,Precision,,
metoda13,Precision,,
metoda14,Precision,,
metoda16,Precision,,
metoda17,Precision,,
metoda18,Precision,,
metoda19,Precision,,
metoda3,Precision,,
metoda5,Precision,,
metoda7,Precision,,
metoda9,Precision,,
