method,metoda,AUC-PR
metoda1-1,run1-1_WELFake_pr_curve.csv,0.7722381377261905
metoda1-2,run1-2_WELFake_pr_curve.csv,0.7706805042279107
metoda1-3,run1-3_WELFake_pr_curve.csv,0.7558458958543393
metoda1-4,run1-4_WELFake_pr_curve.csv,0.7705317957835943
metoda1-5,run1-5_WELFake_pr_curve.csv,0.7680034204999209
metoda10,run10_WELFake_pr_curve.csv,0.7755082668074833
metoda11,run11_WELFake_pr_curve.csv,0.7780101506227728
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.7724394708556457
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.836003464541898
metoda13,run13_WELFake_pr_curve.csv,0.8190836389487568
metoda14,run14_WELFake_pr_curve.csv,0.8354902334377536
metoda15,run15_WELFake_pr_curve.csv,0.773406354117205
metoda16,run16_WELFake_pr_curve.csv,0.8357236059851462
metoda17,run17_WELFake_pr_curve.csv,0.7403653316166632
metoda18,run18_WELFake_pr_curve.csv,0.7792393938301229
metoda19,run19_WELFake_pr_curve.csv,0.8616469892060642
metoda20,run20_WELFake_pr_curve.csv,0.773406354117205
metoda2,run2_WELFake_pr_curve.csv,0.773406354117205
metoda3,run3_WELFake_pr_curve.csv,0.773406354117205
metoda4,run4_WELFake_pr_curve.csv,0.773406354117205
metoda5,run5_WELFake_pr_curve.csv,0.8272654966777366
metoda6,run6_WELFake_pr_curve.csv,0.773406354117205
metoda7,run7_WELFake_pr_curve.csv,0.7851250398692994
metoda8,run8_WELFake_pr_curve.csv,0.773406354117205
metoda9,run9_WELFake_pr_curve.csv,0.7826277573383051
