dataset,method,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
BuzzFeed,metoda1-1,0.5405405405405405,0.2777777777777778,0.0925925925925926,0.1388888888888889,0.5896686159844055,0.047691546404676675,0.6881786620552082,0.05839788439113774,13.266210714975992,,
BuzzFeed,metoda1-2,0.49549549549549554,0.5417917917917917,0.6851851851851851,0.49155042488375816,0.645224171539961,-0.0213838759791626,0.692390824179807,0.0018865594351394344,13.318666299184164,,
BuzzFeed,metoda1-3,0.48648648648648657,0.48648648648648657,1.0,0.6545454545454545,0.645224171539961,0.0,0.6923197439293508,0.0,13.371666351954142,,
BuzzFeed,metoda1-4,0.5045045045045046,0.32882882882882886,0.6666666666666666,0.4404040404040404,0.6471734892787525,0.054073807043587496,0.6825061008077776,0.017094017094017134,13.423804124196371,,
BuzzFeed,metoda1-5,0.5675675675675675,0.2380952380952381,0.1851851851851852,0.20833333333333334,0.6091617933723197,0.1185276745098202,0.6915063611867405,0.1156862745098039,13.47596271832784,,
BuzzFeed,metoda10,0.5945945945945946,0.6052449965493444,0.5925925925925926,0.5931571815718156,0.6423001949317739,0.19128997885059296,0.64317085921751,0.19007156041445428,0.2653000354766845,0.6321428571428571,0.12766441120204639
BuzzFeed,metoda11,0.5585585585585585,0.5492063492063491,0.5555555555555555,0.5481331533963113,0.615009746588694,0.11844196861906786,0.6586009962296148,0.1170066862261644,2.1565515200297036,0.5821428571428572,0.16757596472032463
BuzzFeed,metoda12-catboost,0.6666666666666666,0.6738095238095237,0.6481481481481481,0.6507422402159244,0.6842105263157895,0.3411038189542402,0.6840481040681289,0.3326379602570026,0.7365240255991617,,
BuzzFeed,metoda12-rf,0.5765765765765766,0.5611111111111111,0.5740740740740741,0.5651249335459861,0.5857699805068226,0.15385305587331452,0.7415848665768441,0.1527608316244475,0.713643471399943,0.5845238095238096,0.14254106328426613
BuzzFeed,metoda13,0.6036036036036037,0.6219047619047618,0.5925925925925926,0.5970313601127555,0.5925925925925926,0.21195919366812502,0.6753097508436875,0.20784608111272085,8.346110582351685,0.4547619047619047,0.14071236969774206
BuzzFeed,metoda14,0.5495495495495496,0.5296296296296297,0.4259259259259259,0.46408529741863075,0.587719298245614,0.09079824534763624,0.6654051371949218,0.09252229120688817,7.288654327392578,0.4619047619047619,0.16777579838142773
BuzzFeed,metoda15,0.5405405405405405,0.5260869565217391,0.5740740740740741,0.546250849505399,0.5867446393762182,0.08294706869396953,0.7354487466017864,0.08267968880089564,0.8505090872446696,0.5821428571428572,0.174450922418784
BuzzFeed,metoda16,0.5405405405405405,0.5273148148148148,0.48148148148148145,0.5025747672806496,0.5789473684210527,0.0781780928943684,0.6646602965024603,0.0780014556107837,0.5850224494934082,0.5214285714285714,0.09899113636544758
