iter	Passed	Remaining
0	1405	279660
1	2312	228955
2	3116	204675
3	3898	191025
4	4705	183497
5	5455	176404
6	6225	171646
7	6972	167340
8	7721	163866
9	8474	161018
10	9224	158488
11	9970	156208
12	10725	154275
13	11475	152454
14	12216	150668
15	12962	149063
16	13727	147777
17	14544	147059
18	15341	146145
19	16199	145795
20	17006	144963
