metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,15.625815850815796,0.9011063186178975,False
Precision,Kruskal-Wallis,15.873755521698632,0.8925787848325021,False
Recall,Kruskal-Wallis,29.365261714403918,0.20668666446210698,False
F1-Score,Kruskal-Wallis,16.508580896014056,0.868850855907404,False
ROC-AUC,Kruskal-Wallis,14.958496393492888,0.9219672224359422,False
MCC,Kruskal-Wallis,15.108524560214159,0.9175429862174833,False
Cohen's Kappa,Kruskal-Wallis,15.625815850815796,0.9011063186178975,False
