,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
Accuracy,1.0,0.8821705426356589,0.07829457364341086,0.5914728682170542,0.3736434108527132,0.9906976744186047,0.9992248062015504,0.3767441860465116
Precision,0.8821705426356589,1.0,0.3992248062015504,0.8147286821705426,0.33178294573643413,0.8573643410852713,0.8875968992248062,0.3744186046511628
Recall,0.07829457364341086,0.3992248062015504,1.0,0.775968992248062,0.2116279069767442,0.10310077519379846,0.08217054263565891,0.3077519379844961
F1-Score,0.5914728682170542,0.8147286821705426,0.775968992248062,1.0,0.2062015503875969,0.5868217054263566,0.603875968992248,0.2527131782945736
ROC-AUC,0.3736434108527132,0.33178294573643413,0.2116279069767442,0.2062015503875969,1.0,0.4178294573643411,0.3627906976744186,0.9100775193798449
MCC,0.9906976744186047,0.8573643410852713,0.10310077519379846,0.5868217054263566,0.4178294573643411,1.0,0.9868217054263566,0.4186046511627907
Cohen's Kappa,0.9992248062015504,0.8875968992248062,0.08217054263565891,0.603875968992248,0.3627906976744186,0.9868217054263566,1.0,0.3643410852713178
AUC-PR,0.3767441860465116,0.3744186046511628,0.3077519379844961,0.2527131782945736,0.9100775193798449,0.4186046511627907,0.3643410852713178,1.0
