metric,test,stat,p_value,significant
Accuracy,Kruskal-Wallis,22.580234502600828,0.5446766729805756,False
Precision,Kruskal-Wallis,22.267094839047427,0.5633284121471953,False
Recall,Kruskal-Wallis,26.918725029299598,0.30825588485485006,False
F1-Score,Kruskal-Wallis,16.24760229253868,0.8789320935077517,False
ROC-AUC,Kruskal-Wallis,10.319902020790224,0.9930963508658304,False
MCC,Kruskal-Wallis,19.736149810232913,0.7116775195827052,False
Cohen's Kappa,Kruskal-Wallis,19.842138093795306,0.7057171087938174,False
AUC-PR,Kruskal-Wallis,8.440412518856084,0.998570787486712,False
