,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
Accuracy,1.0,0.8956007783103976,0.05170109811050511,0.6433645728812198,0.35119016681156123,0.9973764581272219,0.9996125017076619,0.21676111199334133
Precision,0.8956007783103976,1.0,0.3435886699825226,0.8777328068362005,0.29128559931687054,0.8853320452891511,0.902307302339984,0.19693114481356222
Recall,0.05170109811050511,0.3435886699825226,1.0,0.7354848948620183,0.1512812914063877,0.06883449134767813,0.07155627959612261,0.23292002835188905
F1-Score,0.6433645728812198,0.8777328068362005,0.7354848948620183,1.0,0.2342657494400942,0.6428470715643618,0.6588289425418223,0.20604322343965353
ROC-AUC,0.35119016681156123,0.29128559931687054,0.1512812914063877,0.2342657494400942,1.0,0.3616324463792119,0.35327477712530897,0.9375745580872498
MCC,0.9973764581272219,0.8853320452891511,0.06883449134767813,0.6428470715643618,0.3616324463792119,1.0,0.9977298737855652,0.23102197002440866
Cohen's Kappa,0.9996125017076619,0.902307302339984,0.07155627959612261,0.6588289425418223,0.35327477712530897,0.9977298737855652,1.0,0.22085429627744702
AUC-PR,0.21676111199334133,0.19693114481356222,0.23292002835188905,0.20604322343965353,0.9375745580872498,0.23102197002440866,0.22085429627744702,1.0
