Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),metoda,dataset,method
0.8,0.8,0.8,0.8,0.8,0.6,0.6282554409092257,0.6,970.958969593048,0.8,0.2449489742783178,run15_WELFake_results.csv,WELFake,metoda15
0.7,0.75,0.6,0.6666666666666666,0.84,0.408248290463863,0.6038122257337084,0.4,0.9250271320343018,0.7,0.4,run16_BuzzFeed_results.csv,BuzzFeed,metoda16
1.0,1.0,1.0,1.0,1.0,1.0,0.0094005790337538,1.0,1830.2964119911196,1.0,0.0,run16_ISOT_results.csv,ISOT,metoda16
1.0,1.0,1.0,1.0,1.0,1.0,0.0914023590246579,1.0,10257.607170581818,1.0,0.0,run16_WELFake_results.csv,WELFake,metoda16
0.6,0.5555555555555556,1.0,0.7142857142857143,0.8400000000000001,0.3333333333333333,0.6633073206004919,0.1999999999999999,7.709135055541992,,,run17_BuzzFeed_results.csv,BuzzFeed,metoda17
1.0,1.0,1.0,1.0,1.0,1.0,0.0335257107285753,1.0,207.50684452056885,,,run17_ISOT_results.csv,ISOT,metoda17
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.2040960535920717,0.8,813.0040538311005,0.4,0.2,run17_WELFake_results.csv,WELFake,metoda17
0.7,0.6666666666666666,0.8,0.7272727272727273,0.64,0.408248290463863,0.7740444635675493,0.4,3.286418199539185,0.7,0.2449489742783178,run18_BuzzFeed_results.csv,BuzzFeed,metoda18
0.9,1.0,0.8,0.8888888888888888,0.96,0.816496580927726,0.5219986864315328,0.8,539.6614763736725,0.9,0.2,run18_ISOT_results.csv,ISOT,metoda18
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.2299092675714851,0.8,987.9600250720978,0.9,0.2,run18_WELFake_results.csv,WELFake,metoda18
0.8,0.8,0.8,0.8,0.92,0.6,0.4853987751330577,0.6,0.2659943103790283,0.8,0.2449489742783178,run19_BuzzFeed_results.csv,BuzzFeed,metoda19
0.9,0.8333333333333334,1.0,0.9090909090909092,1.0,0.816496580927726,0.258596166707922,0.8,106.65897154808044,0.9,0.2,run19_ISOT_results.csv,ISOT,metoda19
1.0,1.0,1.0,1.0,1.0,1.0,0.0640009150545722,1.0,6424.637235879898,0.8,0.2449489742783178,run19_WELFake_results.csv,WELFake,metoda19
0.6,0.5714285714285714,0.8,0.6666666666666666,0.72,0.2182178902359924,0.6707844972206846,0.1999999999999999,1.597578525543213,0.6,0.2,run20_BuzzFeed_results.csv,BuzzFeed,metoda20
1.0,1.0,1.0,1.0,1.0,1.0,0.5178812330997037,1.0,548.5144958496094,1.0,0.0,run20_ISOT_results.csv,ISOT,metoda20
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.2439028536955225,0.8,1197.2181911468506,0.9,0.2,run20_WELFake_results.csv,WELFake,metoda20
0.6,0.5714285714285714,0.8,0.6666666666666666,0.72,0.2182178902359924,0.6707844972206846,0.1999999999999999,1.597578525543213,0.6,0.2,run2_BuzzFeed_results.csv,BuzzFeed,metoda2
1.0,1.0,1.0,1.0,1.0,1.0,0.5178812330997037,1.0,548.5144958496094,1.0,0.0,run2_ISOT_results.csv,ISOT,metoda2
0.8,0.8,0.8,0.8,0.8,0.6,0.6282554409092257,0.6,970.958969593048,0.8,0.2449489742783178,run2_WELFake_results.csv,WELFake,metoda2
