,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
Accuracy,1.0,0.8515560956725444,0.49972502494089943,0.7847417359256723,0.3794978827813805,0.999651512000061,0.9999367344879697,0.3390782942306971
Precision,0.8515560956725444,1.0,0.6433277403298381,0.920430416909497,0.3479790604699808,0.8467018298294573,0.8523114794168143,0.31545065495840086
Recall,0.49972502494089943,0.6433277403298381,1.0,0.8863772360955006,-0.26008912989411825,0.4963729265717149,0.5065157101215694,-0.14881861988012968
F1-Score,0.7847417359256723,0.920430416909497,0.8863772360955006,1.0,0.10186794837972092,0.7804493337054155,0.7885337375718331,0.14036739924816016
ROC-AUC,0.3794978827813805,0.3479790604699808,-0.26008912989411825,0.10186794837972092,1.0,0.3814892909726545,0.373450440273877,0.9305248563241002
MCC,0.999651512000061,0.8467018298294573,0.4963729265717149,0.7804493337054155,0.3814892909726545,1.0,0.9996603002600872,0.3430813725138614
Cohen's Kappa,0.9999367344879697,0.8523114794168143,0.5065157101215694,0.7885337375718331,0.373450440273877,0.9996603002600872,1.0,0.33419885495999013
AUC-PR,0.3390782942306971,0.31545065495840086,-0.14881861988012968,0.14036739924816016,0.9305248563241002,0.3430813725138614,0.33419885495999013,1.0
