,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Cohen's Kappa,AUC-PR
Accuracy,1.0,0.7542635658914729,0.6147286821705427,0.8449612403100775,-0.10310077519379846,0.9992248062015504,1.0,-0.06976744186046512
Precision,0.7542635658914729,1.0,0.6,0.875968992248062,0.2131782945736434,0.7511627906976744,0.7542635658914729,0.09612403100775194
Recall,0.6147286821705427,0.6,1.0,0.8155038759689922,-0.2961240310077519,0.6209302325581395,0.6147286821705427,-0.30387596899224806
F1-Score,0.8449612403100775,0.875968992248062,0.8155038759689922,1.0,0.04573643410852713,0.8480620155038759,0.8449612403100775,0.003875968992248062
ROC-AUC,-0.10310077519379846,0.2131782945736434,-0.2961240310077519,0.04573643410852713,1.0,-0.11705426356589148,-0.10310077519379846,0.9186046511627907
MCC,0.9992248062015504,0.7511627906976744,0.6209302325581395,0.8480620155038759,-0.11705426356589148,1.0,0.9992248062015504,-0.08294573643410853
Cohen's Kappa,1.0,0.7542635658914729,0.6147286821705427,0.8449612403100775,-0.10310077519379846,0.9992248062015504,1.0,-0.06976744186046512
AUC-PR,-0.06976744186046512,0.09612403100775194,-0.30387596899224806,0.003875968992248062,0.9186046511627907,-0.08294573643410853,-0.06976744186046512,1.0
