Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),run,dataset,method
1.0,1.0,1.0,1.0,1.0,1.0,0.6577685403874225,1.0,13.944226264953612,,,run1-1_BuzzFeed_results.csv,BuzzFeed,run1-1
1.0,1.0,1.0,1.0,1.0,1.0,4.097955190004608e-05,1.0,220.95767903327945,,,run1-1_ISOT_results.csv,ISOT,run1-1
1.0,1.0,1.0,1.0,1.0,1.0,0.2233509063099479,1.0,181.7002863883972,,,run1-1_WELFake_results.csv,WELFake,run1-1
0.5,0.0,0.0,0.0,1.0,0.0,0.682727127075761,0.0,14.004227876663208,,,run1-2_BuzzFeed_results.csv,BuzzFeed,run1-2
1.0,1.0,1.0,1.0,1.0,1.0,0.002564615664934,1.0,221.0167620182037,,,run1-2_ISOT_results.csv,ISOT,run1-2
1.0,1.0,1.0,1.0,1.0,1.0,0.1160226084738719,1.0,181.75225734710693,,,run1-2_WELFake_results.csv,WELFake,run1-2
0.5,0.0,0.0,0.0,0.0,0.0,0.7076409633492682,0.0,14.0662260055542,,,run1-3_BuzzFeed_results.csv,BuzzFeed,run1-3
1.0,1.0,1.0,1.0,1.0,1.0,0.0015137882641642,1.0,221.07276153564453,,,run1-3_ISOT_results.csv,ISOT,run1-3
1.0,1.0,1.0,1.0,1.0,1.0,0.1089757172155304,1.0,181.80525302886963,,,run1-3_WELFake_results.csv,WELFake,run1-3
0.5,0.5,1.0,0.6666666666666666,1.0,0.0,0.6929971669663642,0.0,14.123228311538696,,,run1-4_BuzzFeed_results.csv,BuzzFeed,run1-4
1.0,1.0,1.0,1.0,1.0,1.0,9.319621190175544e-05,1.0,221.1297817230225,,,run1-4_ISOT_results.csv,ISOT,run1-4
1.0,1.0,1.0,1.0,1.0,1.0,0.3210146489469767,1.0,181.85825490951535,,,run1-4_WELFake_results.csv,WELFake,run1-4
0.5,0.0,0.0,0.0,0.0,0.0,0.70564226771344,0.0,14.182225942611694,,,run1-5_BuzzFeed_results.csv,BuzzFeed,run1-5
1.0,1.0,1.0,1.0,1.0,1.0,0.0086253184283241,1.0,221.18392038345337,,,run1-5_ISOT_results.csv,ISOT,run1-5
1.0,1.0,1.0,1.0,1.0,1.0,0.0622315784187263,1.0,181.9112527370453,,,run1-5_WELFake_results.csv,WELFake,run1-5
1.0,1.0,1.0,1.0,1.0,1.0,0.4163373319080616,1.0,0.3829987049102783,,,run10_BuzzFeed_results.csv,BuzzFeed,run10
1.0,1.0,1.0,1.0,1.0,1.0,0.0319869762172543,1.0,38.615840911865234,,,run10_ISOT_results.csv,ISOT,run10
1.0,1.0,1.0,1.0,1.0,1.0,0.1573151986110062,1.0,65.4740002155304,,,run10_WELFake_results.csv,WELFake,run10
0.5,0.0,0.0,0.0,1.0,0.0,0.6233249318310157,0.0,1.386031150817871,,,run11_BuzzFeed_results.csv,BuzzFeed,run11
1.0,1.0,1.0,1.0,1.0,1.0,0.2398947514055391,1.0,447.1120796203613,,,run11_ISOT_results.csv,ISOT,run11
1.0,1.0,1.0,1.0,1.0,1.0,0.4039628354225683,1.0,789.1929678916931,,,run11_WELFake_results.csv,WELFake,run11
0.5,0.0,0.0,0.0,0.0,0.0,0.694846118601284,0.0,0.6229989528656006,,,run12-catboost_BuzzFeed_results.csv,BuzzFeed,run12-catboost
1.0,1.0,1.0,1.0,1.0,1.0,0.6906336476973125,1.0,96.356342792511,,,run12-catboost_ISOT_results.csv,ISOT,run12-catboost
1.0,1.0,1.0,1.0,1.0,1.0,0.6882149257712349,1.0,166.47241401672363,,,run12-catboost_WELFake_results.csv,WELFake,run12-catboost
0.5,0.0,0.0,0.0,0.0,0.0,0.893684560463381,0.0,0.6099996566772461,,,run12-rf_BuzzFeed_results.csv,BuzzFeed,run12-rf
1.0,1.0,1.0,1.0,1.0,1.0,0.1685762339630385,1.0,96.34062504768372,,,run12-rf_ISOT_results.csv,ISOT,run12-rf
0.5,0.5,1.0,0.6666666666666666,1.0,0.0,0.4695238594983856,0.0,166.45741391181946,,,run12-rf_WELFake_results.csv,WELFake,run12-rf
0.5,0.0,0.0,0.0,0.0,0.0,0.7726118083142326,0.0,10.163996934890749,,,run13_BuzzFeed_results.csv,BuzzFeed,run13
1.0,1.0,1.0,1.0,1.0,1.0,0.014525500016998,1.0,3392.888529777527,,,run13_ISOT_results.csv,ISOT,run13
1.0,1.0,1.0,1.0,1.0,1.0,0.0412541013584935,1.0,6549.580688714981,,,run13_WELFake_results.csv,WELFake,run13
0.5,0.0,0.0,0.0,0.0,0.0,0.7982682245568524,0.0,4.4915547370910645,,,run14_BuzzFeed_results.csv,BuzzFeed,run14
1.0,1.0,1.0,1.0,1.0,1.0,0.0098629324477475,1.0,2690.890644311905,,,run14_ISOT_results.csv,ISOT,run14
1.0,1.0,1.0,1.0,1.0,1.0,0.1539860936493496,1.0,11969.57629942894,,,run14_WELFake_results.csv,WELFake,run14
1.0,1.0,1.0,1.0,1.0,1.0,0.6930056375109868,1.0,1.6939995288848877,,,run15_BuzzFeed_results.csv,BuzzFeed,run15
1.0,1.0,1.0,1.0,1.0,1.0,0.6147319875999286,1.0,551.938318490982,,,run15_ISOT_results.csv,ISOT,run15
1.0,1.0,1.0,1.0,1.0,1.0,0.6908535603751477,1.0,972.6173598766328,,,run15_WELFake_results.csv,WELFake,run15
0.5,0.0,0.0,0.0,0.0,0.0,0.7824451376052765,0.0,0.9837286472320556,,,run16_BuzzFeed_results.csv,BuzzFeed,run16
1.0,1.0,1.0,1.0,1.0,1.0,0.00553026933639,1.0,1788.1484248638153,,,run16_ISOT_results.csv,ISOT,run16
1.0,1.0,1.0,1.0,1.0,1.0,0.1541285676773444,1.0,11242.780372619629,,,run16_WELFake_results.csv,WELFake,run16
0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.7035894390035775,0.0,7.755075931549072,,,run17_BuzzFeed_results.csv,BuzzFeed,run17
1.0,1.0,1.0,1.0,1.0,1.0,0.0089481142162013,1.0,98.36103510856628,,,run17_ISOT_results.csv,ISOT,run17
1.0,1.0,1.0,1.0,1.0,1.0,0.0984386718933319,1.0,116.80939888954164,,,run17_WELFake_results.csv,WELFake,run17
